Name	smiles
CHEMBL107	COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
CHEMBL1070	COc1ccc2cc(CCC(C)=O)ccc2c1
CHEMBL1072	CCCCNc1cc(C(=O)[O-])cc(S(N)(=O)=O)c1Oc1ccccc1
CHEMBL107217	CC[NH+](CC)C(=S)[S-]
CHEMBL1073	Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)[N-]C(=O)[NH2+]C3CCCCC3)cc2)cn1
CHEMBL107360	c1ccc2c(c1)CCc1ccccc1[NH+]2[C@@H]1C[N@H+]2CC[C@@H]1CC2
CHEMBL107400	Cc1cc(OCC(=O)[O-])cc(C)c1Cc1ccc([O-])c(C(C)C)c1
CHEMBL107430	CC1(C)CCC(C)(C)c2c1cc(C(=O)Nc1cc(F)c(C(=O)[O-])c(F)c1)c([O-])c2Cl
CHEMBL1075	CCOC(=O)Nc1ccc2c(c1)N(C(=O)CC[NH+]1CCOCC1)c1ccccc1S2
CHEMBL1075733	CC[C@H](C)[C@@H](CC)C(N)=O
CHEMBL10758	c1ccc2c(c1)cc1n2CCC[NH2+]C1
CHEMBL1075834	C#CCOc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)[O-])cc1OC
CHEMBL1076211	Cc1ccc(C(=O)[C@H](C)C[NH+]2CCCCC2)cc1
CHEMBL1076256	O=C(c1cc2ccccc2o1)[N@H+]1CC[N@@H+](Cc2ccccc2)CC1
CHEMBL1076263	CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)[NH+]=C(C1=C([O-])[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3[N@H+](Cc3ccc(F)cc3)C1=O)N2
CHEMBL1076347	O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1
CHEMBL1076903	c1cnc2cc3c(cc2n1)[C@@H]1C[NH2+]C[C@H]3C1
CHEMBL107747	CC1(C)CCC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C(=O)[N@H+]1CC(=O)[O-]
CHEMBL1077896	CCC[N@@H+]1CCCC[C@H]1C(=O)Nc1c(C)cccc1C
CHEMBL1078261	CCCOC(C(=O)O[C@H]1CC[N@H+](C)CC1)(c1ccccc1)c1ccccc1
CHEMBL1078549	C[C@@]12C[C@@]3(O)O[C@@H](O1)[C@@]1(COC(=O)c4ccccc4)[C@@H]3C[C@]12O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
CHEMBL1078685	N#Cc1cc(-c2n[n-]c(-c3ccncc3)n2)ccn1
